statname,tot_app,pass_tot,pass_percent,area_sqkm,tot_population,urban_population,grwoth_rate,sexratio,sc_population,st_population,literacy_rate,tot_teachers
JAMMU AND KASHMIR                  ,85290,66725,0.782330871145504,222236,12548.93,20.05,23.71,883,7.4,11.9,68.74,30545
HIMACHAL PRADESH                   ,54549,43282,0.793451758969,55673,6856.51,8.69,12.81,974,25.2,5.7,83.78,81117
PUNJAB                             ,211513,194952,0.921702212157172,50362,27704.24,29.82,13.73,893,31.9,0,76.68,3951
CHANDIGARH                         ,17970,17841,0.992821368948247,114,1054.69,76.66,17.1,818,18.9,0,86.43,35391
UTTARAKHAND                        ,94757,80255,0.846955897717319,53483,10116.75,21.54,19.17,963,18.8,2.9,79.63,85423
HARYANA                            ,202318,156469,0.773381508318588,44212,25353.08,24.12,19.9,877,20.2,0,76.64,47316
DELHI                              ,211914,198503,0.936714893777665,1483,16753.24,77.03,20.96,866,16.8,0,86.34,160904
RAJASTHAN                          ,175187,149680,0.854401296899884,342239,68621.01,19.26,21.44,926,17.8,13.5,67.06,175352
UTTAR PRADESH                      ,440562,390991,0.887482352086653,240928,199581.48,17.31,20.09,908,20.7,0.6,69.72,66406
BIHAR                              ,216758,119597,0.551753568495742,94163,103804.64,8.36,25.07,916,15.9,1.3,63.82,2747
SIKKIM                             ,0,0,,7096,607.69,9.85,12.36,889,4.6,33.8,82.2,3350
ARUNACHAL PRADESH                  ,2899,2725,0.939979303208003,83743,1382.61,16.48,25.92,920,0,68.8,66.95,5566
NAGALAND                           ,1015,998,0.983251231527094,16579,1980.6,17.31,-0.47,931,0,86.5,80.11,10202
MANIPUR                            ,9998,9896,0.989797959591918,22327,2721.76,21.16,18.65,987,3.8,35.1,79.85,5930
MIZORAM                            ,150,147,0.98,21081,1091.01,40.42,22.78,975,0.1,94.4,91.58,10468
TRIPURA                            ,9706,7795,0.803111477436637,10486,3671.03,14.87,14.75,961,17.8,31.8,87.75,11145
MEGHALAYA                          ,2298,2280,0.992167101827676,22429,2964.01,15.32,27.82,986,0.6,86.1,75.48,91919
ASSAM                              ,140453,98135,0.698703480879725,78438,31169.27,11.03,16.93,954,7.2,12.4,73.18,96277
WEST BENGAL                        ,373685,350469,0.93787280731097,88752,91347.74,24.55,13.93,947,23.5,5.8,77.08,23036
JHARKHAND                          ,40300,40034,0.993399503722084,79714,32966.24,18.18,22.34,947,12.1,26.2,67.63,74133
ODISHA                             ,72162,65010,0.900889664920595,155707,41947.36,13.15,13.97,978,17.1,22.8,73.45,48140
CHHATTISGARH                       ,36462,28139,0.771734956941473,135191,25540.2,16.39,22.59,991,12.8,30.6,71.04,99334
MADHYA PRADESH                     ,189086,144202,0.762626529727214,308245,72597.57,21.99,20.3,930,15.6,21.1,70.63,83695
GUJARAT                            ,251494,202556,0.805410864672716,196024,60383.63,31.35,19.17,918,6.7,14.8,79.31,489
DAMAN & DIU                        ,854,648,0.758782201405152,112,242.91,23.61,53.54,618,2.5,6.3,87.07,645
DADRA & NAGAR HAVELI               ,1687,1398,0.828689982216953,491,342.85,14.72,55.5,775,1.8,52,77.65,220008
MAHARASHTRA                        ,664570,617341,0.92893299426697,307713,112372.97,36.58,15.99,925,11.8,9.4,82.91,75327
ANDHRA PRADESH                     ,0,0,,275045,84665.53,24.58,11.1,992,16.4,7,67.66,136213
KARNATAKA                          ,138318,122385,0.884808918578927,191791,61130.7,29.38,15.67,968,17.1,7,75.6,5750
GOA                                ,18372,17995,0.979479642934901,3702,1457.72,46,8.17,968,1.7,10.2,87.4,468
LAKSHADWEEP                        ,1,1,1,32,64.43,41.86,6.23,946,0,94.8,92.28,104332
KERALA                             ,127795,125034,0.978395085879729,38863,33387.68,24.76,4.86,1084,9.1,1.5,93.91,177206
TAMIL NADU                         ,48244,46806,0.970193184644723,130058,72138.96,38.1,15.6,995,20,1.1,80.33,5581
PUDUCHERRY                         ,64,64,1,479,1244.46,52.12,27.72,1038,15.7,0,86.55,1621
ANDAMAN & NICOBAR ISLANDS          ,4180,4076,0.97511961722488,8249,379.94,30.58,6.68,878,0,7.5,86.27,63451